59392,ISO Acknowledgement
59904,ISO Request
60160,ISO Transport Protocol, Data Transfer
60416,ISO Transport Protocol, Connection Management - Abort
60928,ISO Address Claim
61184,Manufacturer Proprietary single-frame addressed
61440,Unknown single-frame non-addressed
65001,Bus #1 Phase C Basic AC Quantities
65002,Bus #1 Phase B Basic AC Quantities
65003,Bus #1 Phase A Basic AC Quantities
65004,Bus #1 Average Basic AC Quantities
65005,Utility Total AC Energy
65006,Utility Phase C AC Reactive Power
65007,Utility Phase C AC Power
65008,Utility Phase C Basic AC Quantities
65009,Utility Phase B AC Reactive Power
65010,Utility Phase B AC Power
65011,Utility Phase B Basic AC Quantities
65012,Utility Phase A AC Reactive Power
65013,Utility Phase A AC Power
65014,Utility Phase A Basic AC Quantities
65015,Utility Total AC Reactive Power
65016,Utility Total AC Power
65017,Utility Average Basic AC Quantities
65018,Generator Total AC Energy
65019,Generator Phase C AC Reactive Power
65020,Generator Phase C AC Power
65021,Generator Phase C Basic AC Quantities
65022,Generator Phase B AC Reactive Power
65023,Generator Phase B AC Power
65024,Generator Phase B Basic AC Quantities
65025,Generator Phase A AC Reactive Power
65026,Generator Phase A AC Power
65027,Generator Phase A Basic AC Quantities
65028,Generator Total AC Reactive Power
65029,Generator Total AC Power
65030,Generator Average Basic AC Quantities
65240,ISO Commanded Address
65280,Manufacturer Proprietary single-frame non-addressed
65285,Lowrance: Temperature
65286,Airmar: Boot State Request
65287,Simnet: Configure Temperature Sensor
65288,Seatalk: Alarm
65289,Simnet: Trim Tab Sensor Calibration
65290,Simnet: Paddle Wheel Speed Configuration
65292,Simnet: Clear Fluid Level Warnings
65293,Simnet: LGC-2000 Configuration
65309,Navico: Wireless Battery Status
65312,Navico: Wireless Signal Status
65325,Simnet: Reprogram Status
65341,Simnet: Autopilot Mode
65345,Seatalk: Pilot Wind Datum
65359,Seatalk: Pilot Heading
65360,Seatalk: Pilot Locked Heading
65361,Seatalk: Silence Alarm
65371,Seatalk: Keypad Message
65374,SeaTalk: Keypad Heartbeat
65379,Seatalk: Pilot Mode
65408,Airmar: Depth Quality Factor
65410,Airmar: Device Information
65480,Simnet: Autopilot Mode
65536,Unknown fast-packet addressed
126208,NMEA - Write Fields reply group function
126270,Maretron: Slave Response
126464,PGN List (Transmit and Receive)
126720,Manufacturer Proprietary fast-packet addressed
126976,Unknown fast-packet non-addressed
126983,Alert
126984,Alert Response
126985,Alert Text
126986,Alert Configuration
126987,Alert Threshold
126988,Alert Value
126992,System Time
126993,Heartbeat
126996,Product Information
126998,Configuration Information
127233,Man Overboard Notification
127237,Heading/Track control
127245,Rudder
127250,Vessel Heading
127251,Rate of Turn
127257,Attitude
127258,Magnetic Variation
127488,Engine Parameters, Rapid Update
127489,Engine Parameters, Dynamic
127493,Transmission Parameters, Dynamic
127496,Trip Parameters, Vessel
127497,Trip Parameters, Engine
127498,Engine Parameters, Static
127501,Binary Switch Bank Status
127502,Switch Bank Control
127503,AC Input Status
127504,AC Output Status
127505,Fluid Level
127506,DC Detailed Status
127507,Charger Status
127508,Battery Status
